"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"LSOA11","Lower Super Output Area of Residence 2011","String(9)","The 2011 census Lower Layer Super Output Area (LSOA) code for England and Wales, Super Output Area (SOA) code for Northern Ireland, and Data Zone code for Scotland. Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. N.B. this field remains blank for Scottish postcodes until this information is released. The first character is either E for England or W for Wales The next two characters are 01 for LSOA, and the remaining six characters make up the unique 6-digit tag for each zone.

This field is derived in HES from the patient's postcode (HOMEADD).","9an = 2011 Lower Super Output Area 
E01000001- E01033768 = England
W01000001- W01001958 = Wales
TBA = Scotland95AA01S1 ? 95ZZ16S2 = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known",NA,"RULE_1200",NA
"MSOA01","Middle Super Output Area of Residence 2001","String(9)","The 2001 Census Middle Layer Super Output Area (MSOA) code for England and Wales and Intermediate Zone for Scotland. Pseudo codes are included for Northern Ireland, Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. The first character is either E for England or W for Wales. The next two characters are 02 for Middle Layer and the remaining six characters make up the unique 6-digit tag for each zone.

This field is derived in HES from the patient's postcode (HOMEADD).","9an = Middle Super Output Area  
E02000001- E02006781 = England
W02000001- W02000413 = Wales
S02000001 - S02001235 = Scotland
N99999999 (pseudo) = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known",NA,"RULE_1200",NA
"MSOA11","Middle Super Output Area of Residence 2011","String(9)","The 2011 Census Middle Layer Super Output Area (MSOA) code for England and Wales and Intermediate Zone for Scotland. Pseudo codes are included for Northern Ireland, Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. N.B. this field remains blank for Scottish postcodes until this information is released. The first character is either E for England or W for Wales. The next two characters are 02 for Middle Layer and the remaining six characters make up the unique 6-digit tag for each zone.

This field is derived in HES from the patient's postcode (HOMEADD).","9an = Middle Super Output Area  
E02000001- E02006934 = England
W02000001- W02000423 = Wales
S02001236 - S02002514 = Scotland
N99999999 (pseudo) = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known",NA,"RULE_1200",NA
"NER_GP_PRACTICE","NHS England Region of GP Practice","String(8)","The NHS England Region (NER) where the patient's GP practice code is registered, derived from the GP practice code (GPPRAC).","ann = NER of GP practice
Q99 = Wales
Y = Not known",NA,"RULE_1126",NA
"NER_RESIDENCE","NHS England Region of Residence","String(8)","The NHS England Region (NER) where the patient lives, derived in HES from the patient's postcode (HOMEADD).","ann = NER of residence
Q99 = Wales
S = Scotland
U = no fixed abode
X = Foreign
Y = Not known
Z = Northern Ireland",NA,"RULE_1201",NA
"NER_TREATMENT","NHS England Region of Treatment","String(3)","The NHS England Region (NER) where the patient was treated, derived from the CCG of treatment (CCG_TREATMENT).","ann = NER of treatment
Q99 = Wales
Y = Not known",NA,"RULE_1147",NA
"NEWNHSNO","NHS Number","String(10)","The NHS number of the patient, which is the primary identifier of a person registered for health care; it is unique.","10n = NHS number",NA,NA,NA
"NEWNHSNO_CHECK","NHS Number Check Flag","String(1)","Indicates whether the format of the NHS number supplied in the field NEWNHSNO is valid or not. The NHS number is 10 numeric digits in length. The tenth digit is a check digit used to confirm its validity. The check digit is validated using the modulus 11 algorithm.

The format of an NHS number is considered to be valid if it meets the following criteria:
- it is 10 digits long
- not every digit is the same
- it is not the dummy/default value 2333455667
- it is not in the format N00000000N (where the first and last digits are the same and the rest are zeros)
- the modulus 11 check digit is correct.","Y = The format of the NEWNHSNO is valid
N = The format of the NEWNHSNO is not valid
Null = NEWNHSNO is null",NA,"RULE_9012","Y"
"NHSNOIND","NHS Number Status Indicator","String(2)","A code to indicate whether the patients' NHS number is present in the field NEWNHSNO, and if it is verified. If the NHS number is absent, the indicator gives the reason why.","01 = Number present and verified 
02 = Number present but not traced 
03 = Trace required
04 = Trace attempted - No match or multiple match found 
05 = Trace needs to be resolved - (New NHS number or patient detail conflict) 
06 = Trace in progress 
07 = Number not present and trace not required 
08 = Trace postponed (baby under six weeks old)
91 = Anonymised or pseudonymised by SUS",NA,NA,NA
"NODIAGS","Number of Diagnoses","Number","The number of diagnoses recorded on the attendance. Prior to 2017-18 this represents the number available on the record in HES. From 2017-18 it represents the number on the submitted record (HES only receives the first 12 diagnosis codes per record).","3n = Number of diagnoses",NA,NA,"Y"
"NOINVESTS","Number of Investigations","Number","The number of investigations recorded on the attendance. Prior to 2017-18 represents the number available on the record in HES. From 2017-18 this represents the number on the submitted record (HES only receives the first 12 investigation codes per record)","3n = Number of investigations",NA,NA,NA
"NOTREATS","Number of Treatments","Number","The number of treatments codes recorded on the attendance. Prior to 2017-18 this represents the number available on the record in HES. From 2017-18 this represents the number on the submitted record (HES only receives the first 12 treatment codes per record)","3n = Number of treatments",NA,NA,NA
"OACODE01","Census Output Area 2001","String(10)","Census output areas are small geographical areas that cover similar population sizes and are as socially homogenous as possible. This derived field represents the 2001 census output area code associated with the patient's postcode (HOMEADD). Note that this field uses old-style codes from the pre-January 2011 ONS geographical coding system. The structure is CCDDWWAAAA, where CC = county, DD = district or unitary authority, WW=ward, and AAAA = output area.","10an = 2001 Census Output Area
Y = Not known",NA,"RULE_1200",NA
"OACODE11","Census Output Area 2011","String(10)","Census Output Areas are small geographical areas that cover similar population sizes and are as socially homogenous as possible. This derived field represents the 2011 Census Output Area code associated with the patient's postcode (HOMEADD). Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference.","9an = 2011 Census Output Area
E00000001 - E00176774 = England;
W00000001 - W00010265 = Wales;
S00088956 - S00135306 = Scotland;
N00000001 - N00004537 = Northern Ireland;
L99999999 (pseudo) = Channel Islands;
M99999999 (pseudo) = Isle of Man;
Y = Not known",NA,"RULE_1200",NA
"OACODE6","Census Output Area 2001 (Ward Identifier)","String(6)","The first six-characters from the Census Output Area 2001 (OACODE01) field, which identifies the local government ward of the patient's postcode. The structure is CCDDWW, where CC = county, DD = district or unitary authority, and WW=ward.","6an = 2001 census output area ward identifier code
Y = not known",NA,"RULE_1200",NA
"ORGPPPID","Organisation Code (Patient Pathway Identifier Issuer)","String(12)","The code of the organisation that issued the patient pathway identifier (PATPATHID). Where Choose and Book has been used, the Organisation Code for NHS Connecting For Health (X09) is used.","3an - 5an = Organisation code",NA,NA,NA
"PARTYEAR","HES Extract Year and Number","Number","The data year (first four digits) and the extract number (final two digits). Note that HES data years span calendar years (they run from 1st April to 31st March). In the PARTYEAR field, the year represents the lower year from the date span, e.g. for 2016-17 the year will appear in this field as 2016 on all records within that data year.

HES extracts are currently taken once per month, with each extract superseding the previous one for that year. For example, a PARTYEAR of 201601 indicates that the data came from the first HES extract to be taken in the 2016-17 data year (April 2016 data only); 201602 is the second extract of 2016-17 (April and May 2016 data only, extracted a month later than the previous extract), etc. 

Where the PARTYEAR ends in 99, this indicates the final HES data set for that year - no further extracts of HES data for that year will be taken, and this data will not change. Where the PARTYEAR does not end in 99, this indicates that the data is provisional and is subject to change with subsequent extracts. Provisional extract numbers generally run from 01 (the first extract of the year) to 13 (the final extract of the year). 99 represents the final data set of the year, which is based on the month 13 extract with additional manual changes made to correct known issues or errors in the data.","YYYYnn = HES year and extract number",NA,NA,NA
"PATPATHID","Patient Pathway Identifier","String(20)","A code that, when combined with the organisation code/organisation identifier of the issuer, identifies a patient pathway. This field is unavailable for use, and is null in all years.

Where a pathway is initiated by a service request using the Choose and Book system, the patient pathway will be uniquely identified by the Unique Booking Reference Number (BOOKREFNO) of the first referral and the organisation code of Choose and Book which is X09.

Where the pathway is initiated by some other method, the patient pathway identifier will be allocated by the Organisation receiving the service request which together with that Organisation's organisation code / organisation identifier will uniquely identify the patient pathway.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field","20an = Patient pathway identifier",NA,NA,NA
"PCFOUND","Postcode Found Flag","String(1)","A flag to indicate whether the postcode in the field HOMEADD represents a valid registered postcode or not. Pseudo postcodes are counted as valid in this field.","Y = Valid
N = Invalid or null",NA,"RULE_1200",NA
"PCON","Westminster Parliamentary Constituency of Residence","String(12)","For activity from 2011-12 onwards, HES users are advised to use the field PCON_ONS instead of PCON. 

The English Westminster Parliamentary Constituency where the patient resides, derived in HES from the patient's postcode (HOMEADD). Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS - the new-style code can be found in the field PCON_ONS.","3an = English Westminster Parliamentary Constituency
S = Scotland
U = no fixed abode
W = Wales
X = Foreign (includes Channel Islands and Isle of Man)
Y = Not known
Z = Northern Ireland",NA,"RULE_1200",NA
"PCON_ONS","Westminster Parliamentary Constituency of Residence (ONS)","String(12)","The English Westminster parliamentary constituency where the patient resides, derived in HES from the patient's postcode (HOMEADD).","9an = English Westminster parliamentary constituency
E99999999 = England (not specified)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = No fixed abode
X = Foreign
Y = Not known",NA,"RULE_1200",NA
"PCTCODE_HIS","Primary Care Trust of Responsibility","String(8)","The Primary Care Trust (PCT) of responsibility dependent on the data year. Where the data year is equal to or later than 2006, this field contains the code from the field PCTCODE06, otherwise it contains the code from the field PCTCODE02.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care trust 
59898 = Not applicable
59999 = Unknown",NA,"RULE_8050",NA
"PCTCODE02","Primary Care Trust of Responsibility 2002","String(8)","The Primary Care Trust (PCT) responsible for the patient, based on 2002-03 PCT boundaries. The field PCTORIG02 contains a code indicating how this field was derived.

The PCT structure used by this field was superseded in 2006 - the code representing the PCTs that were in place after this restructure can be found in the field PCTCODE06.","nan, naa or aaa = PCT
59898 = Not applicable  
59999 = Unknown",NA,NA,NA
"PCTCODE06","Primary Care Trust of Responsibility 2006","String(8)","The Primary Care Trust (PCT) responsible for the patient, based on 2006-07 PCT boundaries. The field PCTORIG06 contains a code indicating how this field was derived.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care trust 
59898 = Not applicable
59999 = Unknown",NA,NA,NA
"PCTNHS","Organisation Code (Residence Responsibility)","String(12)","The organisation code derived from the patient's postcode, representing one of the following based on the place of residence:  pre-1st April 2013 this should represent a PCT or Health Authority code, from 1st April 2013 onwards this should represent a Clinical Commissioning Group (CCG), Care Trust. Local Health Board (Wales), Scottish Health Board, or Northern Ireland Local Commissioning Group. Note that this field is derived by the provider and not derived in HES.","5an = Organisation code 
Q99 = Not known
X98 = Not applicable (overseas visitors)",NA,NA,NA
"PCTORIG_HIS","Origin of PCTCODE_HIS","String(8)","The basis on which the code in the field PCTCODE_HIS was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",NA,"RULE_8050",NA
"PCTORIG02","Origin of PCTCODE02","String(1)","The basis on which the code in the field PCTCODE02 was assigned.","1 = GPPRAC was used to derive the code ; 
2 = REGGMP was used to derive the code ; 
3 = PURCODE was used to derive the code ; 
4 = POSTCODE was used to derive the code ; 
5 = POSTCODE allocated code, PCT code was blank ; 
6 = POSTCODE allocated code, PCT code was 59998 ; 
9 = PCT code not known",NA,NA,NA
"PCTORIG06","Origin of PCTCODE06","String(8)","The basis on which the code in the field PCTCODE06 was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",NA,NA,NA
"PCTTREAT","Primary Care Trust of Provider","String(3)","The Primary Care Trust (PCT) area of the provider, derived from the provider code (PROCODE). Note that the PCT itself may be the provider of treatment.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","3an = PCT of provider
59898 = Not applicable
59999 = Unknown",NA,NA,NA
"PEREND","CDS Report Period End Date","Date(YYYY-MM-DD)","A system field used for the purposes of submitting data to SUS. It defines the end date for the range of data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.","YYYY-MM-DD = The end date for the range of data contained in the SUS submission",NA,NA,NA
"PERSON_ID","Person Identifier (Clear)","String(10)","The Master Person Service (MPS) person identifier. This is a unique identifier for each individual patient, generated via the MPS. This identifier replaces the HESID field, and allows an individual’s care to be tracked across years and continuous periods to be identified.

A tokenised version of this field can be found in the field TOKEN_PERSON_ID.","max 10an = Person identifier",NA,NA,NA
"PGPPRAC","Pseudonymised Code of GP Practice","String(16)","A pseudonymised version of the GP practice code (GPPRAC).","16an = Pseudonymised GP practice code
& = Unknown",NA,"RULE_9009",NA
"POSTDIST","Postcode District","String(4)","The outward portion of the patient's postcode (i.e. all characters to the left of the space). The code ZZ99 indicates the postcode was either unavailable, or that the patient did not have one (e.g. because they were normally resident abroad).","an, aan, ann, or aann = Postcode district 
ZZ99 = Unavailable / not applicable",NA,"RULE_9004","Y"
"PREGGMP","Registered or Referring GP (Pseudonymised)","String(16)","A pseudonymised version of the Registered or Referring GP (REGGMP) field.","16an = Pseudonymised registered or referring GP code 
& = Registered or referring GP code is null
99 = Registered or referring GP code is invalid",NA,"RULE_9008",NA
"PROCODE","Provider Code","String(5)","The code of the organisation acting as the health care provider. This field can contain a mixture of organisation codes and site codes (some providers submit all their records to their main organisation code, others use individual site codes). See the derived fields PROCODE3 and PROCODET for alternative ways to identify the provider organisation.

Note that the structure of newly allocated organisation codes changed in 2020:

For organisation codes that were allocated prior to October 2020:
Organisations are allocated a main 3-character code which represents the organisation (e.g. an NHS Trust), and 5-character codes to represent sites within that organisation. Sites are allocated the same first 3 characters as the organisation code, with the remaining 2 characters being used to identify the site within that organisation.  For NHS organisations, this field may contain the 3-character organisation code or a full 5-character code (e.g. a site code, a HQ code ending 01 etc.), depending on what was submitted by the provider. Independent providers will always be represented in this field by a 5-character code.

Organisation codes that begin with an '8' represent non-NHS organisations and do not follow the same format - these codes are 5 characters long and cannot be grouped based on the first 3 characters of the code.

For organisation codes allocated from 1st October 2020 onwards:
Organisation codes are 5 characters in length, with an alternating ANANA alphabetic-numeric structure (where ‘A’ represents an alphabetic character, and ‘N’ represents a numeric character). Unlike the previous code structure, these codes cannot be grouped to the first 3-characters to identify the parent organisation code.

The new code structure introduced in 1 October 2020 has only been applied to codes that were registered from this date onwards (codes issued prior to this date will not be replaced with a new format code). A mixture of the different code formats will therefore be present in the data from 2020-21 onwards.","3an or 5an = Provider code 
89997 = UK provider where no organisation code has been issued 
89999 = Non-NHS UK provider where no organisation code has been issued",NA,NA,NA
"PROCODE3","Provider Organisation Code","String(5)","The code of the organisation acting as the health care provider. The code in this field always represents the organisation (e.g. the NHS Trust), and does not contain site codes.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details). 

Codes for organisations registered after 1st October 2020 will be 5 characters in length rather than 3 characters.","3an to 5an = Provider organisation code",NA,"RULE_9009",NA
"PROCODE5","Provider Code (5 Character)","String(5)","The code of the organisation acting as the health care provider. This field represents the code from the PROCODE field to 5-characters. Where PROCODE contains a 3-character code, it is padded to the right with additional zeros in this field.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details).","5an = Provider code to 5 characters
89997 = Non-UK provider where no organisation code has been issued  
89999 = Non-NHS UK provider where no organisation code has been issued",NA,"RULE_9009",NA
"PROCODEO","Provider Code (Original)","String(12)","The code of the organisation acting as the health care provider, as submitted. Note that provider codes are subject to a mapping process in HES, which attempts to allocate a valid provider code to records that were submitted with an invalid/closed provider code. This field contains the submitted code. Where the code in this field is different to the code in the PROCODE field, the provider code has been mapped in HES. Users are advised to use the fields PROCODE, PROCODE3, PROCODE5 or PROCODET to identify the provider, as PROCODEO can contain invalid codes.","3an to 5an = Submitted provider code",NA,NA,NA
"PROCODET","Provider Code of Treatment","String(5)","This field contains a combination of provider codes, depending on the organisation type.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details). 

For NHS providers, this field contains the code for the organisation (e.g. the NHS trust). Independent providers are represented at site level*. NHS trust codes allocated prior to October 2020 that have associated treatment centres will have '- X' following the 3 character code. 

* The code for independent providers is taken from the PROCODE field. This may not match the site code from the 'site code of treatment' (SITETRET) field - e.g. it may represent a HQ code. Details of the site where the patient was treated can be found in the SITETRET field.","5an = Provider code",NA,NA,NA
"PROCSCHEME","Procedure Scheme in Use (HRG)","Number","The coding scheme basis of the dominant procedure (DOMPROC) field","1 = Accident & Emergency treatment
2 = OPCS-4
3 = Read code 4Byte version (retired 1 October 2009)
4 = Read coded clinical terms version 2
5 = Read coded clinical terms cersion 3 (CTV3)",NA,NA,NA
"PROTYPE","Provider Type","String(20)","The type of healthcare provider, derived from the provider code (PROCODE).","CARETRUST = Care trust  
CCG = Clinical Commissioning Group
FOUNDATION = NHS foundation trust  
IND = Independent sector provider  
INDSITE = Independent sector provider site 
INDSITETC = Treatment centre at independent sector provider site  
OTHERPROV = Other provider organisation  
PCT = Primary care trust  
TRUST = NHS trust  
TRUSTSITETC = Treatment centre at NHS trust site",NA,NA,NA
"PROVDIST","Distance Between LSOA11 and Provider","String(15)","The distance in kilometres between the Lower Super Output Area 2011 (LSOA11) centroid and the provider. The provider is defined as PROCODE5 (if populated) or PROCODE3 if PROCODE5 is not populated or the last two characters of PROCODE5 are 00.","nnn.nn = Distance in kilometres",NA,"RULE_8101",NA
"PROVDIST_FLAG","Derivation of PROVDIST","String(1)","Flag to indicate if the PROVDIST field was calculated using PROCODE5 or PROCODE3.","5 = PROVDIST was calculated from PROCODE5
3 = PROVDIST was calculated from PROCODE3",NA,"RULE_8101",NA
"PSEUDO_HESID","Pseudonymised Patient identifier - HES generated","String(32)","A unique identifier for each individual patient. This allowed an individual’s care to be tracked across years and continuous periods to be identified. This was a pseudonymised version of the HES ID field based on an updated matching algorithm, which superseded and was compatible with the original HES ID. 

This field was replaced with the TOKEN_PERSON_ID field in 2021-22. PSEUDO_HESID is no longer available in HES.","32an = Pseudonymised HESID",NA,"RULE_9011",NA
"PURCODE","Commissioner Code","String(12)","The organisation that commissioned the patient's health care. This field is submitted by the provider.","an3 or an5 = Commissioner code
VPP00 = Private patients / overseas visitor liable for charge
XMD00 = Commissioner code for Ministry of Defence (MoD) healthcare
YDD82 = Episodes funded directly by the National Commissioning Group for England (retired September 2018)","RULE_0340",NA,NA
"PURSTHA","Strategic Health Authority of Commissioner","String(8)","The Strategic Health Authority (SHA) area in which the commissioner is located, derived from the PURCODE field.

In 2013 following a reorganisation of health areas, SHAs were abolished.","3an = SHA area of commissioner
S = Scotland  
X = Foreign (including Isle of Man and Channel Islands)  
Y = Unknown  
Z = Northern Ireland",NA,NA,NA
"PURVAL","Commissioner Code Status","String(1)","A flag to indicate whether the submitted commissioner code (PURCODE) is one that is recognised throughout the NHS. If not, the code may have been agreed locally between the hospital provider and the health care purchaser.","0 = Purchaser code is not recognised throughout the NHS  
1 = Purchaser code is recognised throughout the NHS",NA,"RULE_1150","Y"
"RANK_ORDER","Linkage Quality Rank","Number","This field is present on A&E and APC linked records only. Linkage between these two datasets enables patient pathways to be followed and provides additional information beyond what is available from the standalone datasets. 

A score of one to four is applied to each linked record, with a score of one meaning a very good link and a score of four meaning a poor link. Records that score poor in quality, rating either three or four, are excluded from the final output of linked data available to users.

The methodology used to link A&E and APC records is currently under review","1 - 4, where 1 is a strong link and 4 is a poor link between the two records",NA,NA,NA
"REGGMP","Registered or Referring GP","String(8)","The General Medical Practitioner PPD code of the GP, which identifies the GP as an individual. This GP works within the General Medical Practice within which the patient is registered.

A pseudonymised version of this field can be found in PREGGMP.","8an = GP code
G9999998 = GP code is unknown  
G9999981 = No registered GP  
R9999981 (retired) = Referrer other than General Medical Practitioner, General Dental
Practitioner or Consultant  
A9999998 (retired) = Ministry of Defence doctor  
P9999981 (retired) = Prison doctor
& = Registered GP not recorded
99 = Registered GP code invalid","RULE_0430",NA,NA
"RESCTY","County of Residence","String(2)","For activity from 2011-12 onwards, HES users are advised to use the field RESCTY_ONS instead of RESCTY.

The county of residence of the patient, derived in HES from the patient's postcode (HOMEADD).

Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESCTY_ONS represents the county of residence using codes from the current ONS geographical coding system.","00 = Not available (patient was resident within a Unitary Authority)
11 = Buckinghamshire  
12 = Cambridgeshire  
16 = Cumbria  
17 = Derbyshire  
18 = Devon  
19 = Dorset  
21 = East Sussex  
22 = Essex  
23 = Gloucestershire  
24 = Hampshire  
26 = Hertfordshire  
29 = Kent  
30 = Lancashire  
31 = Leicestershire  
32 = Lincolnshire  
33 = Norfolk  
34 = Northamptonshire  
36 = North Yorkshire  
37 = Nottinghamshire  
38 = Oxfordshire  
40 = Somerset  
41 = Staffordshire  
42 = Suffolk  
43 = Surrey  
44 = Warwickshire  
45 = West Sussex  
47 = Worcestershire  
S = Scotland  
U = No fixed abode
W = Wales  
X = Foreign (from 1990-91 onwards)  
Y = Not known  
Z = Northern Ireland",NA,"RULE_1200",NA
"RESCTY_ONS","County of Residence (ONS)","String(12)","The county of residence of the patient, derived in HES from the patient's postcode (HOMEADD).","E10000002 - E10000034 = county of residence (England)
E99999999 = Unitary Authority (England)
W99999999 = Wales
S99999999 = Scotland
N99999999 = Northern Ireland
L99999999 = Channel Islands
M99999999 = Isle of Man
U = No fixed abode
X = Foreign   
Y = Not known",NA,"RULE_1200",NA
"RESGOR","Government Office Region of Residence","String(1)","For activity from 2011-12 onwards, HES users are advised to use the field RESGOR_ONS instead of RESGOR 

The Government Office Region (GOR) area of residence of the patient, derived in HES from the patient's postcode (HOMEADD). Note that GORs closed on 31 March 2011, but this regional geography is maintained for statistical purposes and after this date is referred to simply as 'regions'.

Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESGOR_ONS represents the government office region of residence using codes from the current ONS geographical coding system.","A = North East  
B = North West  
C = Merseyside (until 1998-99)  
D = Yorkshire and Humber  
E = East Midlands  
F = West Midlands  
G = East of England  
H = London  
J = South East  
K = South West  
S = Scotland  
U = No fixed abode  
W = Wales  
X = Foreign (including Isle of Man and Channel Islands)  
Y = Unknown  
Z = Northern Ireland",NA,"RULE_1200",NA
"RESGOR_ONS","Government Office Region of Residence (ONS)","String(9)","The Government Office Region (GOR) area of residence of the patient, derived in HES from the patient's postcode (HOMEADD). Note that GORs closed on 31 March 2011, but this regional geography is maintained for statistical purposes and after this date is referred to simply as 'regions'.","E12000001  =North East
E12000002 = North West
E12000003 = Yorkshire and Humber
E12000004 = East Midlands
E12000005 = West Midlands
E12000006 = East of England
E12000007 = London
E12000008 = South East
E12000009 = South West
E99999999 = England (not otherwise stated)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = No fixed abode
X = Foreign
Y = Unknown",NA,"RULE_1200",NA
"RESHA","Health Authority of Residence","String(3)","The Health Authority (HA) area of residence, derived in HES from the patient's postcode (HOMEADD).

In 2002 following a reorganisation of health areas, HAs were replaced by Strategic Health Authorities. This field continued to be derived after this date as a ‘frozen’ geography.","3an = Health Authority area of residence 
S = Scotland 
U = no fixed abode
W = Wales 
X = Foreign (including Isle of Man and Channel Islands) 
Y = Unknown 
Z = Northern Ireland",NA,"RULE_1200",NA
"RESLADST","Local Authority District of Residence","String(9)","For activity from 2011-12 onwards, HES users are advised to use the field RESLADST_ONS instead of RESLADST.

The county (first two characters) and local authority district (last two characters) of residence of the patient, derived in HES from the patient's postcode (HOMEADD). Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESLADST_ONS represents the local authority district of residence using codes from the current ONS geographical coding system.

RESLADST is used in conjunction with CURRWARD (current electoral ward) to produce a unique value indicating the ward within a given district where the patient resided (i.e. because identical CURRWARD codes are allocated to many local authority districts, CURRWARD is meaningless in isolation). If the patient is resident within a Unitary Authority, the first two characters will be 00 (zero, zero) and the local authority component may not be useable.","4an = Local authority district code 
S = Scotland 
U = No fixed abode
W = Wales 
Y = Not known 
Z = Northern Ireland 
X = Foreign (includes Isle of Man)",NA,"RULE_1200",NA
"RESLADST_ONS","Local Authority District of Residence (ONS)","String(9)","The current local authority district of residence of the patient, derived in HES from the patient's postcode (HOMEADD).","9an = Local authority district code
E99999999 = England (not otherwise stated)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = No fixed abode
X = Foreign
Y = Not known",NA,"RULE_1200",NA
"RESPCT_HIS","Primary Care Trust of Residence","String(9)","The Primary Care Trust (PCT) of residence dependent on the data year. 

If the HES data year is 2006 or later, it will return the value from the field RESPCT06. If the data year is earlier than 2006, it will return the value from the field RESPCT02.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5** = PCT 
Taa = Care trust 
6** = Wales 
S** = Scotland 
Y** = Manx and Channel Islands 
Z** = Northern Ireland 
59898 = Other not applicable (non-England) 
59999 = Unknown PCT",NA,"RULE_8040",NA
"RESPCT02","Primary Care Trust of Residence 2002","String(8)","The Primary Care Trust (PCT) of residence of the patient, based on 2002-03 PCT boundaries, derived in HES from the patient's postcode (HOMEADD).

This PCT structure was superseded in 2006 - the code representing the PCTs that were in place after this restructure can be found in the field RESPCT06.","5** = PCT 
Taa = Care trust 
6** = Wales 
S** = Scotland 
Y** = Manx and Channel Islands 
Z** = Northern Ireland 
59898 = Other not applicable (non-England) 
59999 = Unknown PCT",NA,"RULE_1200",NA
"RESPCT06","Primary Care Trust of Residence 2006","String(9)","The Primary Care Trust (PCT) area of residence of the patient, based on 2006-07 PCT boundaries, derived in HES from the patient's postcode (HOMEADD).

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5** = PCT 
Taa = Care trust 
6** = Wales 
S** = Scotland 
Y** = Manx and Channel Islands 
Z** = Northern Ireland 
59898 = Other not applicable (non-England) 
59999 = Unknown PCT",NA,"RULE_1200",NA
"RESRO","Regional Office of Residence","String(3)","The Regional Office (RO) area of residence of the patient, derived in HES from the patient's postcode (HOMEADD).

ROs were abolished in 2002. This field continued to be derived after this date as a ‘frozen’ geography.","Y01 = Northern and Yorkshire  
Y02 = Trent  
Y07 = West Midlands  
Y08 = North West  
Y09 = Eastern  
Y10 = London  
Y11 = South East  
Y12 = South West  
W00 = Wales  
S00 = Scotland  
Z00 = Northern Ireland  
U00 = No fixed abode
Y00 = Unknown  
X00 = Foreign (includes Channel Islands and the Isle of Man)",NA,"RULE_1200",NA
"RESSTHA_HIS","Strategic Health Authority of Residence","String(9)","The Strategic Health Authority (SHA) of residence dependent on the data year. 

If the HES data year is 2006 or later, it will return the value from the field RESSTHA06. If the data year is earlier than 2006, it will return the value from the field RESSTHA02.

In 2013 following a reorganisation of health areas, SHAs were abolished. This field continued to be derived after this date as a 'frozen' geography.","an3 = Strategic Health Authority of residence
S = Scotland 
U = no fixed abode
W or Q99 = Wales 
X = Foreign (includes Channel Islands and the Isle of Man)
Y = Unknown 
Z = Northern Ireland",NA,"RULE_8040",NA
