Chapter_number,Chapter_description,Short_code_three,Cause_description
7,Diseases of the eye and adnexa,H31,Other disorders of choroid
7,Diseases of the eye and adnexa,H32,Chorioretinal disorders in diseases classified elsewhere
7,Diseases of the eye and adnexa,H33,Retinal detachments and breaks
7,Diseases of the eye and adnexa,H34,Retinal vascular occlusions
7,Diseases of the eye and adnexa,H35,Other retinal disorders
7,Diseases of the eye and adnexa,H36,Retinal disorders in diseases classified elsewhere
7,Diseases of the eye and adnexa,H40,Glaucoma
7,Diseases of the eye and adnexa,H42,Glaucoma in diseases classified elsewhere
7,Diseases of the eye and adnexa,H43,Disorders of vitreous body
7,Diseases of the eye and adnexa,H44,Disorders of globe
7,Diseases of the eye and adnexa,H45,Disorders of vitreous body and globe in diseases classified elsewhere
7,Diseases of the eye and adnexa,H46,Optic neuritis
7,Diseases of the eye and adnexa,H47,Other disorders of optic [2nd] nerve and visual pathways
7,Diseases of the eye and adnexa,H48,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
7,Diseases of the eye and adnexa,H49,Paralytic strabismus
7,Diseases of the eye and adnexa,H50,Other strabismus
7,Diseases of the eye and adnexa,H51,Other disorders of binocular movement
7,Diseases of the eye and adnexa,H52,Disorders of refraction and accommodation
7,Diseases of the eye and adnexa,H53,Visual disturbances
7,Diseases of the eye and adnexa,H54,Visual impairment including blindness (binocular or monocular)
7,Diseases of the eye and adnexa,H55,Nystagmus and other irregular eye movements
7,Diseases of the eye and adnexa,H57,Other disorders of eye and adnexa
7,Diseases of the eye and adnexa,H58,Other disorders of eye and adnexa in diseases classified elsewhere
7,Diseases of the eye and adnexa,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified"
8,Diseases of the ear and mastoid process,H60,Otitis externa
8,Diseases of the ear and mastoid process,H61,Other disorders of external ear
8,Diseases of the ear and mastoid process,H62,Disorders of external ear in diseases classified elsewhere
8,Diseases of the ear and mastoid process,H65,Nonsuppurative otitis media
8,Diseases of the ear and mastoid process,H66,Suppurative and unspecified otitis media
8,Diseases of the ear and mastoid process,H67,Otitis media in diseases classified elsewhere
8,Diseases of the ear and mastoid process,H68,Eustachian salpingitis and obstruction
8,Diseases of the ear and mastoid process,H69,Other disorders of Eustachian tube
8,Diseases of the ear and mastoid process,H70,Mastoiditis and related conditions
8,Diseases of the ear and mastoid process,H71,Cholesteatoma of middle ear
8,Diseases of the ear and mastoid process,H72,Perforation of tympanic membrane
8,Diseases of the ear and mastoid process,H73,Other disorders of tympanic membrane
8,Diseases of the ear and mastoid process,H74,Other disorders of middle ear and mastoid
8,Diseases of the ear and mastoid process,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere
8,Diseases of the ear and mastoid process,H80,Otosclerosis
8,Diseases of the ear and mastoid process,H81,Disorders of vestibular function
8,Diseases of the ear and mastoid process,H82,Vertiginous syndromes in diseases classified elsewhere
8,Diseases of the ear and mastoid process,H83,Other diseases of inner ear
8,Diseases of the ear and mastoid process,H90,Conductive and sensorineural hearing loss
8,Diseases of the ear and mastoid process,H91,Other hearing loss
8,Diseases of the ear and mastoid process,H92,Otalgia and effusion of ear
8,Diseases of the ear and mastoid process,H93,"Other disorders of ear, not elsewhere classified"
8,Diseases of the ear and mastoid process,H94,Other disorders of ear in diseases classified elsewhere
8,Diseases of the ear and mastoid process,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
9,Diseases of the circulatory system,I00,Rheumatic fever without mention of heart involvement
9,Diseases of the circulatory system,I01,Rheumatic fever with heart involvement
9,Diseases of the circulatory system,I02,Rheumatic chorea
9,Diseases of the circulatory system,I05,Rheumatic mitral valve diseases
9,Diseases of the circulatory system,I06,Rheumatic aortic valve diseases
9,Diseases of the circulatory system,I07,Rheumatic tricuspid valve diseases
9,Diseases of the circulatory system,I08,Multiple valve diseases
9,Diseases of the circulatory system,I09,Other rheumatic heart diseases
9,Diseases of the circulatory system,I10,Essential (primary) hypertension
9,Diseases of the circulatory system,I11,Hypertensive heart disease
9,Diseases of the circulatory system,I12,Hypertensive renal disease
9,Diseases of the circulatory system,I13,Hypertensive heart and renal disease
9,Diseases of the circulatory system,I15,Secondary hypertension
9,Diseases of the circulatory system,I20,Angina pectoris
9,Diseases of the circulatory system,I21,Acute myocardial infarction
9,Diseases of the circulatory system,I22,Subsequent myocardial infarction
9,Diseases of the circulatory system,I23,Certain current complications following acute myocardial infarction
9,Diseases of the circulatory system,I24,Other acute ischaemic heart diseases
9,Diseases of the circulatory system,I25,Chronic ischaemic heart disease
9,Diseases of the circulatory system,I26,Pulmonary embolism
9,Diseases of the circulatory system,I27,Other pulmonary heart diseases
9,Diseases of the circulatory system,I28,Other diseases of pulmonary vessels
9,Diseases of the circulatory system,I30,Acute pericarditis
9,Diseases of the circulatory system,I31,Other diseases of pericardium
9,Diseases of the circulatory system,I32,Pericarditis in diseases classified elsewhere
9,Diseases of the circulatory system,I33,Acute and subacute endocarditis
9,Diseases of the circulatory system,I34,Nonrheumatic mitral valve disorders
9,Diseases of the circulatory system,I35,Nonrheumatic aortic valve disorders
9,Diseases of the circulatory system,I36,Nonrheumatic tricuspid valve disorders
9,Diseases of the circulatory system,I37,Pulmonary valve disorders
9,Diseases of the circulatory system,I38,"Endocarditis, valve unspecified"
9,Diseases of the circulatory system,I39,Endocarditis and heart valve disorders in diseases classified elsewhere
9,Diseases of the circulatory system,I40,Acute myocarditis
9,Diseases of the circulatory system,I41,Myocarditis in diseases classified elsewhere
9,Diseases of the circulatory system,I42,Cardiomyopathy
9,Diseases of the circulatory system,I43,Cardiomyopathy in diseases classified elsewhere
9,Diseases of the circulatory system,I44,Atrioventricular and left bundle-branch block
9,Diseases of the circulatory system,I45,Other conduction disorders
9,Diseases of the circulatory system,I46,Cardiac arrest
9,Diseases of the circulatory system,I47,Paroxysmal tachycardia
9,Diseases of the circulatory system,I48,Atrial fibrillation and flutter
9,Diseases of the circulatory system,I49,Other cardiac arrhythmias
9,Diseases of the circulatory system,I50,Heart failure
9,Diseases of the circulatory system,I51,Complications and ill-defined descriptions of heart disease
9,Diseases of the circulatory system,I52,Other heart disorders in diseases classified elsewhere
9,Diseases of the circulatory system,I60,Subarachnoid haemorrhage
9,Diseases of the circulatory system,I61,Intracerebral haemorrhage
9,Diseases of the circulatory system,I62,Other nontraumatic intracranial haemorrhage
9,Diseases of the circulatory system,I63,Cerebral infarction
9,Diseases of the circulatory system,I64,"Stroke, not specified as haemorrhage or infarction"
9,Diseases of the circulatory system,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
9,Diseases of the circulatory system,I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
9,Diseases of the circulatory system,I67,Other cerebrovascular diseases
9,Diseases of the circulatory system,I68,Cerebrovascular disorders in diseases classified elsewhere
9,Diseases of the circulatory system,I69,Sequelae of cerebrovascular disease
9,Diseases of the circulatory system,I70,Atherosclerosis
9,Diseases of the circulatory system,I71,Aortic aneurysm and dissection
9,Diseases of the circulatory system,I72,Other aneurysm and dissection
9,Diseases of the circulatory system,I73,Other peripheral vascular diseases
9,Diseases of the circulatory system,I74,Arterial embolism and thrombosis
9,Diseases of the circulatory system,I77,Other disorders of arteries and arterioles
9,Diseases of the circulatory system,I78,Diseases of capillaries
9,Diseases of the circulatory system,I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
9,Diseases of the circulatory system,I80,Phlebitis and thrombophlebitis
9,Diseases of the circulatory system,I81,Portal vein thrombosis
9,Diseases of the circulatory system,I82,Other venous embolism and thrombosis
9,Diseases of the circulatory system,I83,Varicose veins of lower extremities
9,Diseases of the circulatory system,I85,Oesophageal varices
9,Diseases of the circulatory system,I86,Varicose veins of other sites
9,Diseases of the circulatory system,I87,Other disorders of veins
9,Diseases of the circulatory system,I88,Nonspecific lymphadenitis
9,Diseases of the circulatory system,I89,Other noninfective disorders of lymphatic vessels and lymph nodes
9,Diseases of the circulatory system,I95,Hypotension
9,Diseases of the circulatory system,I97,"Postprocedural disorders of circulatory system, not elsewhere classified"
9,Diseases of the circulatory system,I98,Other disorders of circulatory system in diseases classified elsewhere
9,Diseases of the circulatory system,I99,Other and unspecified disorders of circulatory system
10,Diseases of the respiratory system,J00,Acute nasopharyngitis [common cold]
10,Diseases of the respiratory system,J01,Acute sinusitis
10,Diseases of the respiratory system,J02,Acute pharyngitis
10,Diseases of the respiratory system,J03,Acute tonsillitis
10,Diseases of the respiratory system,J04,Acute laryngitis and tracheitis
10,Diseases of the respiratory system,J05,Acute obstructive laryngitis [croup] and epiglottitis
10,Diseases of the respiratory system,J06,Acute upper respiratory infections of multiple and unspecified sites
10,Diseases of the respiratory system,J09,Influenza due to identified zoonotic or pandemic influenza virus
10,Diseases of the respiratory system,J10,Influenza due to identified seasonal influenza virus
10,Diseases of the respiratory system,J11,"Influenza, virus not identified"
10,Diseases of the respiratory system,J12,"Viral pneumonia, not elsewhere classified"
10,Diseases of the respiratory system,J13,Pneumonia due to Streptococcus pneumoniae
10,Diseases of the respiratory system,J14,Pneumonia due to Haemophilus influenzae
10,Diseases of the respiratory system,J15,"Bacterial pneumonia, not elsewhere classified"
10,Diseases of the respiratory system,J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
10,Diseases of the respiratory system,J17,Pneumonia in diseases classified elsewhere
10,Diseases of the respiratory system,J18,"Pneumonia, organism unspecified"
10,Diseases of the respiratory system,J20,Acute bronchitis
10,Diseases of the respiratory system,J21,Acute bronchiolitis
10,Diseases of the respiratory system,J22,Unspecified acute lower respiratory infection
10,Diseases of the respiratory system,J30,Vasomotor and allergic rhinitis
10,Diseases of the respiratory system,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
10,Diseases of the respiratory system,J32,Chronic sinusitis
10,Diseases of the respiratory system,J33,Nasal polyp
10,Diseases of the respiratory system,J34,Other disorders of nose and nasal sinuses
10,Diseases of the respiratory system,J35,Chronic diseases of tonsils and adenoids
10,Diseases of the respiratory system,J36,Peritonsillar abscess
10,Diseases of the respiratory system,J37,Chronic laryngitis and laryngotracheitis
10,Diseases of the respiratory system,J38,"Diseases of vocal cords and larynx, not elsewhere classified"
10,Diseases of the respiratory system,J39,Other diseases of upper respiratory tract
10,Diseases of the respiratory system,J40,"Bronchitis, not specified as acute or chronic"
10,Diseases of the respiratory system,J41,Simple and mucopurulent chronic bronchitis
10,Diseases of the respiratory system,J42,Unspecified chronic bronchitis
10,Diseases of the respiratory system,J43,Emphysema
10,Diseases of the respiratory system,J44,Other chronic obstructive pulmonary disease
10,Diseases of the respiratory system,J45,Asthma
10,Diseases of the respiratory system,J46,Status asthmaticus
10,Diseases of the respiratory system,J47,Bronchiectasis
10,Diseases of the respiratory system,J60,Coalworker pneumoconiosis
10,Diseases of the respiratory system,J61,Pneumoconiosis due to asbestos and other mineral fibres
10,Diseases of the respiratory system,J62,Pneumoconiosis due to dust containing silica
10,Diseases of the respiratory system,J63,Pneumoconiosis due to other inorganic dusts
10,Diseases of the respiratory system,J64,Unspecified pneumoconiosis
10,Diseases of the respiratory system,J65,Pneumoconiosis associated with tuberculosis
10,Diseases of the respiratory system,J66,Airway disease due to specific organic dust
10,Diseases of the respiratory system,J67,Hypersensitivity pneumonitis due to organic dust
10,Diseases of the respiratory system,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
10,Diseases of the respiratory system,J69,Pneumonitis due to solids and liquids
10,Diseases of the respiratory system,J70,Respiratory conditions due to other external agents
10,Diseases of the respiratory system,J80,Adult respiratory distress syndrome
10,Diseases of the respiratory system,J81,Pulmonary oedema
10,Diseases of the respiratory system,J82,"Pulmonary eosinophilia, not elsewhere classified"
10,Diseases of the respiratory system,J84,Other interstitial pulmonary diseases
10,Diseases of the respiratory system,J85,Abscess of lung and mediastinum
10,Diseases of the respiratory system,J86,Pyothorax
10,Diseases of the respiratory system,J90,"Pleural effusion, not elsewhere classified"
10,Diseases of the respiratory system,J91,Pleural effusion in conditions classified elsewhere
10,Diseases of the respiratory system,J92,Pleural plaque
10,Diseases of the respiratory system,J93,Pneumothorax
10,Diseases of the respiratory system,J94,Other pleural conditions
10,Diseases of the respiratory system,J95,"Postprocedural respiratory disorders, not elsewhere classified"
10,Diseases of the respiratory system,J96,"Respiratory failure, not elsewhere classified"
10,Diseases of the respiratory system,J98,Other respiratory disorders
10,Diseases of the respiratory system,J99,Respiratory disorders in diseases classified elsewhere
11,Diseases of the digestive system,K00,Disorders of tooth development and eruption
11,Diseases of the digestive system,K01,Embedded and impacted teeth
11,Diseases of the digestive system,K02,Dental caries
11,Diseases of the digestive system,K03,Other diseases of hard tissues of teeth
11,Diseases of the digestive system,K04,Diseases of pulp and periapical tissues
11,Diseases of the digestive system,K05,Gingivitis and periodontal diseases
11,Diseases of the digestive system,K06,Other disorders of gingiva and edentulous alveolar ridge
11,Diseases of the digestive system,K07,Dentofacial anomalies [including malocclusion]
11,Diseases of the digestive system,K08,Other disorders of teeth and supporting structures
11,Diseases of the digestive system,K09,"Cysts of oral region, not elsewhere classified"
11,Diseases of the digestive system,K10,Other diseases of jaws
11,Diseases of the digestive system,K11,Diseases of salivary glands
11,Diseases of the digestive system,K12,Stomatitis and related lesions
11,Diseases of the digestive system,K13,Other diseases of lip and oral mucosa
11,Diseases of the digestive system,K14,Diseases of tongue
11,Diseases of the digestive system,K20,Oesophagitis
11,Diseases of the digestive system,K21,Gastro-oesophageal reflux disease
11,Diseases of the digestive system,K22,Other diseases of oesophagus
11,Diseases of the digestive system,K23,Disorders of oesophagus in diseases classified elsewhere
11,Diseases of the digestive system,K25,Gastric ulcer
11,Diseases of the digestive system,K26,Duodenal ulcer
11,Diseases of the digestive system,K27,"Peptic ulcer, site unspecified"
11,Diseases of the digestive system,K28,Gastrojejunal ulcer
11,Diseases of the digestive system,K29,Gastritis and duodenitis
11,Diseases of the digestive system,K30,Functional dyspepsia
11,Diseases of the digestive system,K31,Other diseases of stomach and duodenum
11,Diseases of the digestive system,K35,Acute appendicitis
11,Diseases of the digestive system,K36,Other appendicitis
11,Diseases of the digestive system,K37,Unspecified appendicitis
11,Diseases of the digestive system,K38,Other diseases of appendix
11,Diseases of the digestive system,K40,Inguinal hernia
11,Diseases of the digestive system,K41,Femoral hernia
11,Diseases of the digestive system,K42,Umbilical hernia
11,Diseases of the digestive system,K43,Ventral hernia
11,Diseases of the digestive system,K44,Diaphragmatic hernia
11,Diseases of the digestive system,K45,Other abdominal hernia
11,Diseases of the digestive system,K46,Unspecified abdominal hernia
11,Diseases of the digestive system,K50,Crohn disease [regional enteritis]
11,Diseases of the digestive system,K51,Ulcerative colitis
11,Diseases of the digestive system,K52,Other noninfective gastroenteritis and colitis
11,Diseases of the digestive system,K55,Vascular disorders of intestine
11,Diseases of the digestive system,K56,Paralytic ileus and intestinal obstruction without hernia
11,Diseases of the digestive system,K57,Diverticular disease of intestine
11,Diseases of the digestive system,K58,Irritable bowel syndrome
11,Diseases of the digestive system,K59,Other functional intestinal disorders
11,Diseases of the digestive system,K60,Fissure and fistula of anal and rectal regions
11,Diseases of the digestive system,K61,Abscess of anal and rectal regions
11,Diseases of the digestive system,K62,Other diseases of anus and rectum
11,Diseases of the digestive system,K63,Other diseases of intestine
11,Diseases of the digestive system,K64,Haemorrhoids and perianal venous thrombosis
11,Diseases of the digestive system,K65,Peritonitis
11,Diseases of the digestive system,K66,Other disorders of peritoneum
11,Diseases of the digestive system,K67,Disorders of peritoneum in infectious diseases classified elsewhere
11,Diseases of the digestive system,K70,Alcoholic liver disease
11,Diseases of the digestive system,K71,Toxic liver disease
11,Diseases of the digestive system,K72,"Hepatic failure, not elsewhere classified"
11,Diseases of the digestive system,K73,"Chronic hepatitis, not elsewhere classified"
11,Diseases of the digestive system,K74,Fibrosis and cirrhosis of liver
11,Diseases of the digestive system,K75,Other inflammatory liver diseases
11,Diseases of the digestive system,K76,Other diseases of liver
11,Diseases of the digestive system,K77,Liver disorders in diseases classified elsewhere
11,Diseases of the digestive system,K80,Cholelithiasis
11,Diseases of the digestive system,K81,Cholecystitis
11,Diseases of the digestive system,K82,Other diseases of gallbladder
11,Diseases of the digestive system,K83,Other diseases of biliary tract
11,Diseases of the digestive system,K85,Acute pancreatitis
11,Diseases of the digestive system,K86,Other diseases of pancreas
11,Diseases of the digestive system,K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
11,Diseases of the digestive system,K90,Intestinal malabsorption
11,Diseases of the digestive system,K91,"Postprocedural disorders of digestive system, not elsewhere classified"
11,Diseases of the digestive system,K92,Other diseases of digestive system
11,Diseases of the digestive system,K93,Disorders of other digestive organs in diseases classified elsewhere
12,Diseases of the skin and subcutaneous tissue,L00,Staphylococcal scalded skin syndrome
12,Diseases of the skin and subcutaneous tissue,L01,Impetigo
12,Diseases of the skin and subcutaneous tissue,L02,"Cutaneous abscess, furuncle and carbuncle"
12,Diseases of the skin and subcutaneous tissue,L03,Cellulitis
12,Diseases of the skin and subcutaneous tissue,L04,Acute lymphadenitis
12,Diseases of the skin and subcutaneous tissue,L05,Pilonidal cyst
12,Diseases of the skin and subcutaneous tissue,L08,Other local infections of skin and subcutaneous tissue
12,Diseases of the skin and subcutaneous tissue,L10,Pemphigus
12,Diseases of the skin and subcutaneous tissue,L11,Other acantholytic disorders
12,Diseases of the skin and subcutaneous tissue,L12,Pemphigoid
12,Diseases of the skin and subcutaneous tissue,L13,Other bullous disorders
12,Diseases of the skin and subcutaneous tissue,L14,Bullous disorders in diseases classified elsewhere
12,Diseases of the skin and subcutaneous tissue,L20,Atopic dermatitis
12,Diseases of the skin and subcutaneous tissue,L21,Seborrhoeic dermatitis
12,Diseases of the skin and subcutaneous tissue,L22,Diaper [napkin] dermatitis
12,Diseases of the skin and subcutaneous tissue,L23,Allergic contact dermatitis
12,Diseases of the skin and subcutaneous tissue,L24,Irritant contact dermatitis
12,Diseases of the skin and subcutaneous tissue,L25,Unspecified contact dermatitis
12,Diseases of the skin and subcutaneous tissue,L26,Exfoliative dermatitis
12,Diseases of the skin and subcutaneous tissue,L27,Dermatitis due to substances taken internally
12,Diseases of the skin and subcutaneous tissue,L28,Lichen simplex chronicus and prurigo
12,Diseases of the skin and subcutaneous tissue,L29,Pruritus
12,Diseases of the skin and subcutaneous tissue,L30,Other dermatitis
12,Diseases of the skin and subcutaneous tissue,L40,Psoriasis
12,Diseases of the skin and subcutaneous tissue,L41,Parapsoriasis
12,Diseases of the skin and subcutaneous tissue,L42,Pityriasis rosea
12,Diseases of the skin and subcutaneous tissue,L43,Lichen planus
12,Diseases of the skin and subcutaneous tissue,L44,Other papulosquamous disorders
12,Diseases of the skin and subcutaneous tissue,L45,Papulosquamous disorders in diseases classified elsewhere
12,Diseases of the skin and subcutaneous tissue,L50,Urticaria
12,Diseases of the skin and subcutaneous tissue,L51,Erythema multiforme
12,Diseases of the skin and subcutaneous tissue,L52,Erythema nodosum
12,Diseases of the skin and subcutaneous tissue,L53,Other erythematous conditions
12,Diseases of the skin and subcutaneous tissue,L54,Erythema in diseases classified elsewhere
12,Diseases of the skin and subcutaneous tissue,L55,Sunburn
12,Diseases of the skin and subcutaneous tissue,L56,Other acute skin changes due to ultraviolet radiation
12,Diseases of the skin and subcutaneous tissue,L57,Skin changes due to chronic exposure to nonionizing radiation
12,Diseases of the skin and subcutaneous tissue,L58,Radiodermatitis
12,Diseases of the skin and subcutaneous tissue,L59,Other disorders of skin and subcutaneous tissue related to radiation
12,Diseases of the skin and subcutaneous tissue,L60,Nail disorders
12,Diseases of the skin and subcutaneous tissue,L62,Nail disorders in diseases classified elsewhere
12,Diseases of the skin and subcutaneous tissue,L63,Alopecia areata
12,Diseases of the skin and subcutaneous tissue,L64,Androgenic alopecia
12,Diseases of the skin and subcutaneous tissue,L65,Other nonscarring hair loss
12,Diseases of the skin and subcutaneous tissue,L66,Cicatricial alopecia [scarring hair loss]
12,Diseases of the skin and subcutaneous tissue,L67,Hair colour and hair shaft abnormalities
12,Diseases of the skin and subcutaneous tissue,L68,Hypertrichosis
12,Diseases of the skin and subcutaneous tissue,L70,Acne
12,Diseases of the skin and subcutaneous tissue,L71,Rosacea
12,Diseases of the skin and subcutaneous tissue,L72,Follicular cysts of skin and subcutaneous tissue
12,Diseases of the skin and subcutaneous tissue,L73,Other follicular disorders
12,Diseases of the skin and subcutaneous tissue,L74,Eccrine sweat disorders
12,Diseases of the skin and subcutaneous tissue,L75,Apocrine sweat disorders
12,Diseases of the skin and subcutaneous tissue,L80,Vitiligo
12,Diseases of the skin and subcutaneous tissue,L81,Other disorders of pigmentation
12,Diseases of the skin and subcutaneous tissue,L82,Seborrhoeic keratosis
12,Diseases of the skin and subcutaneous tissue,L83,Acanthosis nigricans
12,Diseases of the skin and subcutaneous tissue,L84,Corns and callosities
12,Diseases of the skin and subcutaneous tissue,L85,Other epidermal thickening
12,Diseases of the skin and subcutaneous tissue,L86,Keratoderma in diseases classified elsewhere
12,Diseases of the skin and subcutaneous tissue,L87,Transepidermal elimination disorders
12,Diseases of the skin and subcutaneous tissue,L88,Pyoderma gangrenosum
12,Diseases of the skin and subcutaneous tissue,L89,Decubitus ulcer and pressure area
12,Diseases of the skin and subcutaneous tissue,L90,Atrophic disorders of skin
12,Diseases of the skin and subcutaneous tissue,L91,Hypertrophic disorders of skin
12,Diseases of the skin and subcutaneous tissue,L92,Granulomatous disorders of skin and subcutaneous tissue
12,Diseases of the skin and subcutaneous tissue,L93,Lupus erythematosus
12,Diseases of the skin and subcutaneous tissue,L94,Other localized connective tissue disorders
12,Diseases of the skin and subcutaneous tissue,L95,"Vasculitis limited to skin, not elsewhere classified"
12,Diseases of the skin and subcutaneous tissue,L97,"Ulcer of lower limb, not elsewhere classified"
12,Diseases of the skin and subcutaneous tissue,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
12,Diseases of the skin and subcutaneous tissue,L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M00,Pyogenic arthritis
13,Diseases of the musculoskeletal system and connective tissue,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M02,Reactive arthropathies
13,Diseases of the musculoskeletal system and connective tissue,M03,Postinfective and reactive arthropathies in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M05,Seropositive rheumatoid arthritis
13,Diseases of the musculoskeletal system and connective tissue,M06,Other rheumatoid arthritis
13,Diseases of the musculoskeletal system and connective tissue,M07,Psoriatic and enteropathic arthropathies
13,Diseases of the musculoskeletal system and connective tissue,M08,Juvenile arthritis
13,Diseases of the musculoskeletal system and connective tissue,M09,Juvenile arthritis in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M10,Gout
13,Diseases of the musculoskeletal system and connective tissue,M11,Other crystal arthropathies
13,Diseases of the musculoskeletal system and connective tissue,M12,Other specific arthropathies
13,Diseases of the musculoskeletal system and connective tissue,M13,Other arthritis
13,Diseases of the musculoskeletal system and connective tissue,M14,Arthropathies in other diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M15,Polyarthrosis
13,Diseases of the musculoskeletal system and connective tissue,M16,Coxarthrosis [arthrosis of hip]
13,Diseases of the musculoskeletal system and connective tissue,M17,Gonarthrosis [arthrosis of knee]
13,Diseases of the musculoskeletal system and connective tissue,M18,Arthrosis of first carpometacarpal joint
13,Diseases of the musculoskeletal system and connective tissue,M19,Other arthrosis
13,Diseases of the musculoskeletal system and connective tissue,M20,Acquired deformities of fingers and toes
13,Diseases of the musculoskeletal system and connective tissue,M21,Other acquired deformities of limbs
13,Diseases of the musculoskeletal system and connective tissue,M22,Disorders of patella
13,Diseases of the musculoskeletal system and connective tissue,M23,Internal derangement of knee
13,Diseases of the musculoskeletal system and connective tissue,M24,Other specific joint derangements
13,Diseases of the musculoskeletal system and connective tissue,M25,"Other joint disorders, not elsewhere classified"
13,Diseases of the musculoskeletal system and connective tissue,M30,Polyarteritis nodosa and related conditions
13,Diseases of the musculoskeletal system and connective tissue,M31,Other necrotizing vasculopathies
13,Diseases of the musculoskeletal system and connective tissue,M32,Systemic lupus erythematosus
13,Diseases of the musculoskeletal system and connective tissue,M33,Dermatopolymyositis
13,Diseases of the musculoskeletal system and connective tissue,M34,Systemic sclerosis
13,Diseases of the musculoskeletal system and connective tissue,M35,Other systemic involvement of connective tissue
13,Diseases of the musculoskeletal system and connective tissue,M36,Systemic disorders of connective tissue in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M40,Kyphosis and lordosis
13,Diseases of the musculoskeletal system and connective tissue,M41,Scoliosis
13,Diseases of the musculoskeletal system and connective tissue,M42,Spinal osteochondrosis
13,Diseases of the musculoskeletal system and connective tissue,M43,Other deforming dorsopathies
13,Diseases of the musculoskeletal system and connective tissue,M45,Ankylosing spondylitis
13,Diseases of the musculoskeletal system and connective tissue,M46,Other inflammatory spondylopathies
13,Diseases of the musculoskeletal system and connective tissue,M47,Spondylosis
13,Diseases of the musculoskeletal system and connective tissue,M48,Other spondylopathies
13,Diseases of the musculoskeletal system and connective tissue,M49,Spondylopathies in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M50,Cervical disc disorders
13,Diseases of the musculoskeletal system and connective tissue,M51,Other intervertebral disc disorders
13,Diseases of the musculoskeletal system and connective tissue,M53,"Other dorsopathies, not elsewhere classified"
13,Diseases of the musculoskeletal system and connective tissue,M54,Dorsalgia
13,Diseases of the musculoskeletal system and connective tissue,M60,Myositis
13,Diseases of the musculoskeletal system and connective tissue,M61,Calcification and ossification of muscle
13,Diseases of the musculoskeletal system and connective tissue,M62,Other disorders of muscle
13,Diseases of the musculoskeletal system and connective tissue,M63,Disorders of muscle in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M65,Synovitis and tenosynovitis
13,Diseases of the musculoskeletal system and connective tissue,M66,Spontaneous rupture of synovium and tendon
13,Diseases of the musculoskeletal system and connective tissue,M67,Other disorders of synovium and tendon
13,Diseases of the musculoskeletal system and connective tissue,M68,Disorders of synovium and tendon in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M70,"Soft tissue disorders related to use, overuse and pressure"
13,Diseases of the musculoskeletal system and connective tissue,M71,Other bursopathies
13,Diseases of the musculoskeletal system and connective tissue,M72,Fibroblastic disorders
13,Diseases of the musculoskeletal system and connective tissue,M73,Soft tissue disorders in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M75,Shoulder lesions
13,Diseases of the musculoskeletal system and connective tissue,M76,"Enthesopathies of lower limb, excluding foot"
13,Diseases of the musculoskeletal system and connective tissue,M77,Other enthesopathies
13,Diseases of the musculoskeletal system and connective tissue,M79,"Other soft tissue disorders, not elsewhere classified"
13,Diseases of the musculoskeletal system and connective tissue,M80,Osteoporosis with pathological fracture
13,Diseases of the musculoskeletal system and connective tissue,M81,Osteoporosis without pathological fracture
13,Diseases of the musculoskeletal system and connective tissue,M82,Osteoporosis in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M83,Adult osteomalacia
13,Diseases of the musculoskeletal system and connective tissue,M84,Disorders of continuity of bone
13,Diseases of the musculoskeletal system and connective tissue,M85,Other disorders of bone density and structure
13,Diseases of the musculoskeletal system and connective tissue,M86,Osteomyelitis
13,Diseases of the musculoskeletal system and connective tissue,M87,Osteonecrosis
13,Diseases of the musculoskeletal system and connective tissue,M88,Paget disease of bone [osteitis deformans]
13,Diseases of the musculoskeletal system and connective tissue,M89,Other disorders of bone
13,Diseases of the musculoskeletal system and connective tissue,M90,Osteopathies in diseases classified elsewhere
13,Diseases of the musculoskeletal system and connective tissue,M91,Juvenile osteochondrosis of hip and pelvis
