Group,Condition_name,ICD10_Code,Sex,Age_group,Fraction
Cardiovascular diseases,Ischaemic heart disease,I22,Male,25-34 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I22,Female,25-34 years,-0.26
Cardiovascular diseases,Ischaemic heart disease,I22,Male,35-44 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I22,Female,35-44 years,-0.26
Cardiovascular diseases,Ischaemic heart disease,I22,Male,45-54 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I22,Female,45-54 years,-0.22
Cardiovascular diseases,Ischaemic heart disease,I22,Male,55-64 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I22,Female,55-64 years,-0.25
Cardiovascular diseases,Ischaemic heart disease,I22,Male,65-74 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I22,Female,65-74 years,-0.24
Cardiovascular diseases,Ischaemic heart disease,I22,Male,75-84 years,-0.17
Cardiovascular diseases,Ischaemic heart disease,I22,Female,75-84 years,-0.22
Cardiovascular diseases,Ischaemic heart disease,I22,Male,85 and over,-0.17
Cardiovascular diseases,Ischaemic heart disease,I22,Female,85 and over,-0.16
Cardiovascular diseases,Ischaemic heart disease,I23,Male,16-24 years,-0.15
Cardiovascular diseases,Ischaemic heart disease,I23,Female,16-24 years,-0.23
Cardiovascular diseases,Ischaemic heart disease,I23,Male,25-34 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I23,Female,25-34 years,-0.26
Cardiovascular diseases,Ischaemic heart disease,I23,Male,35-44 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I23,Female,35-44 years,-0.26
Cardiovascular diseases,Ischaemic heart disease,I23,Male,45-54 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I23,Female,45-54 years,-0.22
Cardiovascular diseases,Ischaemic heart disease,I23,Male,55-64 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I23,Female,55-64 years,-0.25
Cardiovascular diseases,Ischaemic heart disease,I23,Male,65-74 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I23,Female,65-74 years,-0.24
Cardiovascular diseases,Ischaemic heart disease,I23,Male,75-84 years,-0.17
Cardiovascular diseases,Ischaemic heart disease,I23,Female,75-84 years,-0.22
Cardiovascular diseases,Ischaemic heart disease,I23,Male,85 and over,-0.17
Cardiovascular diseases,Ischaemic heart disease,I23,Female,85 and over,-0.16
Cardiovascular diseases,Ischaemic heart disease,I24,Male,16-24 years,-0.15
Cardiovascular diseases,Ischaemic heart disease,I24,Female,16-24 years,-0.23
Cardiovascular diseases,Ischaemic heart disease,I24,Male,25-34 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I24,Female,25-34 years,-0.26
Cardiovascular diseases,Ischaemic heart disease,I24,Male,35-44 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I24,Female,35-44 years,-0.26
Cardiovascular diseases,Ischaemic heart disease,I24,Male,45-54 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I24,Female,45-54 years,-0.22
Cardiovascular diseases,Ischaemic heart disease,I24,Male,55-64 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I24,Female,55-64 years,-0.25
Cardiovascular diseases,Ischaemic heart disease,I24,Male,65-74 years,-0.18
Cardiovascular diseases,Ischaemic heart disease,I24,Female,65-74 years,-0.24
Cardiovascular diseases,Ischaemic heart disease,I24,Male,75-84 years,-0.17
Cardiovascular diseases,Ischaemic heart disease,I24,Female,75-84 years,-0.22
Cardiovascular diseases,Ischaemic heart disease,I24,Male,85 and over,-0.17
Cardiovascular diseases,Ischaemic heart disease,I24,Female,85 and over,-0.16
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,16-24 years,0.13
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,16-24 years,0.08
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,25-34 years,0.18
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,25-34 years,0.1
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,35-44 years,0.2
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,35-44 years,0.12
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,45-54 years,0.21
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,45-54 years,0.15
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,55-64 years,0.23
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,55-64 years,0.14
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,65-74 years,0.21
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,65-74 years,0.1
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,75-84 years,0.17
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,75-84 years,0.08
Cardiovascular diseases,Cardiac arrhythmias,I47,Male,85 and over,0.12
Cardiovascular diseases,Cardiac arrhythmias,I47,Female,85 and over,0.05
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,16-24 years,0.13
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,16-24 years,0.08
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,25-34 years,0.18
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,25-34 years,0.1
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,35-44 years,0.2
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,35-44 years,0.12
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,45-54 years,0.21
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,45-54 years,0.15
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,55-64 years,0.23
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,55-64 years,0.14
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,65-74 years,0.21
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,65-74 years,0.1
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,75-84 years,0.17
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,75-84 years,0.08
Cardiovascular diseases,Cardiac arrhythmias,I48,Male,85 and over,0.12
Cardiovascular diseases,Cardiac arrhythmias,I48,Female,85 and over,0.05
Cardiovascular diseases,Heart failure,I50,Male,16-24 years,0.08
Cardiovascular diseases,Heart failure,I50,Female,16-24 years,-0.03
Cardiovascular diseases,Heart failure,I50,Male,25-34 years,0.11
Cardiovascular diseases,Heart failure,I50,Female,25-34 years,-0.04
Cardiovascular diseases,Heart failure,I50,Male,35-44 years,0.13
Cardiovascular diseases,Heart failure,I50,Female,35-44 years,-0.05
Cardiovascular diseases,Heart failure,I50,Male,45-54 years,0.13
Cardiovascular diseases,Heart failure,I50,Female,45-54 years,-0.07
Cardiovascular diseases,Heart failure,I50,Male,55-64 years,0.15
Cardiovascular diseases,Heart failure,I50,Female,55-64 years,-0.06
Cardiovascular diseases,Heart failure,I50,Male,65-74 years,0.13
Cardiovascular diseases,Heart failure,I50,Female,65-74 years,-0.04
Cardiovascular diseases,Heart failure,I50,Male,75-84 years,0.11
Cardiovascular diseases,Heart failure,I50,Female,75-84 years,-0.03
Cardiovascular diseases,Heart failure,I50,Male,85 and over,0.08
Cardiovascular diseases,Heart failure,I50,Female,85 and over,-0.02
Cardiovascular diseases,Heart failure,I51,Male,16-24 years,0.08
Cardiovascular diseases,Heart failure,I51,Female,16-24 years,-0.03
Cardiovascular diseases,Heart failure,I51,Male,25-34 years,0.11
Cardiovascular diseases,Heart failure,I51,Female,25-34 years,-0.04
Cardiovascular diseases,Heart failure,I51,Male,35-44 years,0.13
Cardiovascular diseases,Heart failure,I51,Female,35-44 years,-0.05
Cardiovascular diseases,Heart failure,I51,Male,45-54 years,0.13
Cardiovascular diseases,Heart failure,I51,Female,45-54 years,-0.07
Cardiovascular diseases,Heart failure,I51,Male,55-64 years,0.15
Cardiovascular diseases,Heart failure,I51,Female,55-64 years,-0.06
Cardiovascular diseases,Heart failure,I51,Male,65-74 years,0.13
Cardiovascular diseases,Heart failure,I51,Female,65-74 years,-0.04
Cardiovascular diseases,Heart failure,I51,Male,75-84 years,0.11
Cardiovascular diseases,Heart failure,I51,Female,75-84 years,-0.03
Cardiovascular diseases,Heart failure,I51,Male,85 and over,0.08
Cardiovascular diseases,Heart failure,I51,Female,85 and over,-0.02
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,16-24 years,0.13
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,16-24 years,0.08
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,25-34 years,0.18
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,25-34 years,0.1
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,35-44 years,0.2
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,35-44 years,0.12
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,45-54 years,0.21
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,45-54 years,0.15
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,55-64 years,0.23
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,55-64 years,0.14
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,65-74 years,0.21
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,65-74 years,0.1
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,75-84 years,0.17
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,75-84 years,0.08
Cardiovascular diseases,Haemorrhagic stroke,I690,Male,85 and over,0.12
Cardiovascular diseases,Haemorrhagic stroke,I690,Female,85 and over,0.05
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,16-24 years,0.13
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,16-24 years,0.08
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,25-34 years,0.18
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,25-34 years,0.1
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,35-44 years,0.2
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,35-44 years,0.12
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,45-54 years,0.21
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,45-54 years,0.15
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,55-64 years,0.23
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,55-64 years,0.14
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,65-74 years,0.21
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,65-74 years,0.1
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,75-84 years,0.17
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,75-84 years,0.08
Cardiovascular diseases,Haemorrhagic stroke,I691,Male,85 and over,0.12
Cardiovascular diseases,Haemorrhagic stroke,I691,Female,85 and over,0.05
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,16-24 years,0.13
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,16-24 years,0.08
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,25-34 years,0.18
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,25-34 years,0.1
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,35-44 years,0.2
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,35-44 years,0.12
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,45-54 years,0.21
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,45-54 years,0.15
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,55-64 years,0.23
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,55-64 years,0.14
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,65-74 years,0.21
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,65-74 years,0.1
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,75-84 years,0.17
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,75-84 years,0.08
Cardiovascular diseases,Haemorrhagic stroke,I692,Male,85 and over,0.12
Cardiovascular diseases,Haemorrhagic stroke,I692,Female,85 and over,0.05
Cardiovascular diseases,Ischaemic stroke,I693,Male,16-24 years,0.1
Cardiovascular diseases,Ischaemic stroke,I693,Female,16-24 years,0.06
Cardiovascular diseases,Ischaemic stroke,I693,Male,25-34 years,0.14
Cardiovascular diseases,Ischaemic stroke,I693,Female,25-34 years,0.08
Cardiovascular diseases,Ischaemic stroke,I693,Male,35-44 years,0.16
Cardiovascular diseases,Ischaemic stroke,I693,Female,35-44 years,0.09
Cardiovascular diseases,Ischaemic stroke,I693,Male,45-54 years,0.17
Cardiovascular diseases,Ischaemic stroke,I693,Female,45-54 years,0.12
Cardiovascular diseases,Ischaemic stroke,I693,Male,55-64 years,0.18
Cardiovascular diseases,Ischaemic stroke,I693,Female,55-64 years,0.11
Cardiovascular diseases,Ischaemic stroke,I693,Male,65-74 years,0.17
Cardiovascular diseases,Ischaemic stroke,I693,Female,65-74 years,0.08
Cardiovascular diseases,Ischaemic stroke,I693,Male,75-84 years,0.13
Cardiovascular diseases,Ischaemic stroke,I693,Female,75-84 years,0.06
Cardiovascular diseases,Ischaemic stroke,I693,Male,85 and over,0.1
Cardiovascular diseases,Ischaemic stroke,I693,Female,85 and over,0.03
Cardiovascular diseases,Ischaemic stroke,I694,Male,16-24 years,0.1
Cardiovascular diseases,Ischaemic stroke,I694,Female,16-24 years,0.06
Cardiovascular diseases,Ischaemic stroke,I694,Male,25-34 years,0.14
Cardiovascular diseases,Ischaemic stroke,I694,Female,25-34 years,0.08
Cardiovascular diseases,Ischaemic stroke,I694,Male,35-44 years,0.16
Cardiovascular diseases,Ischaemic stroke,I694,Female,35-44 years,0.09
Cardiovascular diseases,Ischaemic stroke,I694,Male,45-54 years,0.17
Cardiovascular diseases,Ischaemic stroke,I694,Female,45-54 years,0.12
Cardiovascular diseases,Ischaemic stroke,I694,Male,55-64 years,0.18
Cardiovascular diseases,Ischaemic stroke,I694,Female,55-64 years,0.11
Cardiovascular diseases,Ischaemic stroke,I694,Male,65-74 years,0.17
Cardiovascular diseases,Ischaemic stroke,I694,Female,65-74 years,0.08
Cardiovascular diseases,Ischaemic stroke,I694,Male,75-84 years,0.13
Cardiovascular diseases,Ischaemic stroke,I694,Female,75-84 years,0.06
Cardiovascular diseases,Ischaemic stroke,I694,Male,85 and over,0.1
Cardiovascular diseases,Ischaemic stroke,I694,Female,85 and over,0.03
Cardiovascular diseases,Oesophageal varices,I85,Male,16-24 years,-0.17
Cardiovascular diseases,Oesophageal varices,I85,Female,16-24 years,-0.09
Cardiovascular diseases,Oesophageal varices,I85,Male,25-34 years,-0.03
Cardiovascular diseases,Oesophageal varices,I85,Female,25-34 years,-0.05
Cardiovascular diseases,Oesophageal varices,I85,Male,35-44 years,0.11
Cardiovascular diseases,Oesophageal varices,I85,Female,35-44 years,0.08
Cardiovascular diseases,Oesophageal varices,I85,Male,45-54 years,0.13
Cardiovascular diseases,Oesophageal varices,I85,Female,45-54 years,0.24
Cardiovascular diseases,Oesophageal varices,I85,Male,55-64 years,0.21
Cardiovascular diseases,Oesophageal varices,I85,Female,55-64 years,0.18
Cardiovascular diseases,Oesophageal varices,I85,Male,65-74 years,0.13
Cardiovascular diseases,Oesophageal varices,I85,Female,65-74 years,0.02
Cardiovascular diseases,Oesophageal varices,I85,Male,75-84 years,-0.04
Cardiovascular diseases,Oesophageal varices,I85,Female,75-84 years,-0.1
Cardiovascular diseases,Oesophageal varices,I85,Male,85 and over,-0.34
Cardiovascular diseases,Oesophageal varices,I85,Female,85 and over,-0.22
Respiratory infections,Pneumonia,J100,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J100,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J100,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J100,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J100,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J100,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J100,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J100,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J100,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J100,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J100,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J100,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J100,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J100,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J100,Male,85 and over,0.04
Respiratory infections,Pneumonia,J100,Female,85 and over,0
Respiratory infections,Pneumonia,J110,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J110,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J110,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J110,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J110,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J110,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J110,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J110,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J110,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J110,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J110,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J110,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J110,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J110,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J110,Male,85 and over,0.04
Respiratory infections,Pneumonia,J110,Female,85 and over,0
Respiratory infections,Pneumonia,J12,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J12,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J12,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J12,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J12,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J12,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J12,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J12,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J12,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J12,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J12,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J12,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J12,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J12,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J12,Male,85 and over,0.04
Respiratory infections,Pneumonia,J12,Female,85 and over,0
Respiratory infections,Pneumonia,J13,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J13,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J13,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J13,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J13,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J13,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J13,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J13,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J13,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J13,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J13,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J13,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J13,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J13,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J13,Male,85 and over,0.04
Respiratory infections,Pneumonia,J13,Female,85 and over,0
Respiratory infections,Pneumonia,J14,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J14,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J14,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J14,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J14,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J14,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J14,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J14,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J14,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J14,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J14,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J14,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J14,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J14,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J14,Male,85 and over,0.04
Respiratory infections,Pneumonia,J14,Female,85 and over,0
Respiratory infections,Pneumonia,J15,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J15,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J15,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J15,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J15,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J15,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J15,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J15,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J15,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J15,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J15,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J15,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J15,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J15,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J15,Male,85 and over,0.04
Respiratory infections,Pneumonia,J15,Female,85 and over,0
Respiratory infections,Pneumonia,J18,Male,16-24 years,0.05
Respiratory infections,Pneumonia,J18,Female,16-24 years,0.02
Respiratory infections,Pneumonia,J18,Male,25-34 years,0.07
Respiratory infections,Pneumonia,J18,Female,25-34 years,0.02
Respiratory infections,Pneumonia,J18,Male,35-44 years,0.09
Respiratory infections,Pneumonia,J18,Female,35-44 years,0.03
Respiratory infections,Pneumonia,J18,Male,45-54 years,0.09
Respiratory infections,Pneumonia,J18,Female,45-54 years,0.06
Respiratory infections,Pneumonia,J18,Male,55-64 years,0.11
Respiratory infections,Pneumonia,J18,Female,55-64 years,0.05
Respiratory infections,Pneumonia,J18,Male,65-74 years,0.09
Respiratory infections,Pneumonia,J18,Female,65-74 years,0.03
Respiratory infections,Pneumonia,J18,Male,75-84 years,0.07
Respiratory infections,Pneumonia,J18,Female,75-84 years,0.01
Respiratory infections,Pneumonia,J18,Male,85 and over,0.04
Respiratory infections,Pneumonia,J18,Female,85 and over,0
Digestive diseases,Unspecified liver disease,K73,Male,16-24 years,-0.17
Digestive diseases,Unspecified liver disease,K73,Female,16-24 years,-0.09
Digestive diseases,Unspecified liver disease,K73,Male,25-34 years,-0.03
Digestive diseases,Unspecified liver disease,K73,Female,25-34 years,-0.05
Digestive diseases,Unspecified liver disease,K73,Male,35-44 years,0.11
Digestive diseases,Unspecified liver disease,K73,Female,35-44 years,0.08
Digestive diseases,Unspecified liver disease,K73,Male,45-54 years,0.13
Digestive diseases,Unspecified liver disease,K73,Female,45-54 years,0.24
Digestive diseases,Unspecified liver disease,K73,Male,55-64 years,0.21
Digestive diseases,Unspecified liver disease,K73,Female,55-64 years,0.18
Digestive diseases,Unspecified liver disease,K73,Male,65-74 years,0.13
Digestive diseases,Unspecified liver disease,K73,Female,65-74 years,0.02
Digestive diseases,Unspecified liver disease,K73,Male,75-84 years,-0.04
Digestive diseases,Unspecified liver disease,K73,Female,75-84 years,-0.1
Digestive diseases,Unspecified liver disease,K73,Male,85 and over,-0.34
Digestive diseases,Unspecified liver disease,K73,Female,85 and over,-0.22
Digestive diseases,Unspecified liver disease,K74,Male,16-24 years,-0.17
Digestive diseases,Unspecified liver disease,K74,Female,16-24 years,-0.09
Digestive diseases,Unspecified liver disease,K74,Male,25-34 years,-0.03
Digestive diseases,Unspecified liver disease,K74,Female,25-34 years,-0.05
Digestive diseases,Unspecified liver disease,K74,Male,35-44 years,0.11
Digestive diseases,Unspecified liver disease,K74,Female,35-44 years,0.08
Digestive diseases,Unspecified liver disease,K74,Male,45-54 years,0.13
Digestive diseases,Unspecified liver disease,K74,Female,45-54 years,0.24
Digestive diseases,Unspecified liver disease,K74,Male,55-64 years,0.21
Digestive diseases,Unspecified liver disease,K74,Female,55-64 years,0.18
Digestive diseases,Unspecified liver disease,K74,Male,65-74 years,0.13
Digestive diseases,Unspecified liver disease,K74,Female,65-74 years,0.02
Digestive diseases,Unspecified liver disease,K74,Male,75-84 years,-0.04
Digestive diseases,Unspecified liver disease,K74,Female,75-84 years,-0.1
Digestive diseases,Unspecified liver disease,K74,Male,85 and over,-0.34
Digestive diseases,Unspecified liver disease,K74,Female,85 and over,-0.22
Digestive diseases,Cholelithiasis (gall stones),K80,Male,16-24 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,16-24 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,25-34 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,25-34 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,35-44 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,35-44 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,45-54 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,45-54 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,55-64 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,55-64 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,65-74 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,65-74 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,75-84 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,75-84 years,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Male,85 and over,-0.01
Digestive diseases,Cholelithiasis (gall stones),K80,Female,85 and over,-0.01
Digestive diseases,Acute and chronic pancreatitis,K851,Male,16-24 years,0.28
Digestive diseases,Acute and chronic pancreatitis,K851,Female,16-24 years,0.16
Digestive diseases,Acute and chronic pancreatitis,K851,Male,25-34 years,0.37
Digestive diseases,Acute and chronic pancreatitis,K851,Female,25-34 years,0.19
Digestive diseases,Acute and chronic pancreatitis,K851,Male,35-44 years,0.43
Digestive diseases,Acute and chronic pancreatitis,K851,Female,35-44 years,0.24
Digestive diseases,Acute and chronic pancreatitis,K851,Male,45-54 years,0.44
Digestive diseases,Acute and chronic pancreatitis,K851,Female,45-54 years,0.32
Digestive diseases,Acute and chronic pancreatitis,K851,Male,55-64 years,0.48
Digestive diseases,Acute and chronic pancreatitis,K851,Female,55-64 years,0.29
Digestive diseases,Acute and chronic pancreatitis,K851,Male,65-74 years,0.44
Digestive diseases,Acute and chronic pancreatitis,K851,Female,65-74 years,0.21
Digestive diseases,Acute and chronic pancreatitis,K851,Male,75-84 years,0.35
Digestive diseases,Acute and chronic pancreatitis,K851,Female,75-84 years,0.15
Digestive diseases,Acute and chronic pancreatitis,K851,Male,85 and over,0.25
Digestive diseases,Acute and chronic pancreatitis,K851,Female,85 and over,0.08
Digestive diseases,Acute and chronic pancreatitis,K853,Male,16-24 years,0.28
Digestive diseases,Acute and chronic pancreatitis,K853,Female,16-24 years,0.16
Digestive diseases,Acute and chronic pancreatitis,K853,Male,25-34 years,0.37
Digestive diseases,Acute and chronic pancreatitis,K853,Female,25-34 years,0.19
Digestive diseases,Acute and chronic pancreatitis,K853,Male,35-44 years,0.43
Digestive diseases,Acute and chronic pancreatitis,K853,Female,35-44 years,0.24
Digestive diseases,Acute and chronic pancreatitis,K853,Male,45-54 years,0.44
Digestive diseases,Acute and chronic pancreatitis,K853,Female,45-54 years,0.32
Digestive diseases,Acute and chronic pancreatitis,K853,Male,55-64 years,0.48
Digestive diseases,Acute and chronic pancreatitis,K853,Female,55-64 years,0.29
Digestive diseases,Acute and chronic pancreatitis,K853,Male,65-74 years,0.44
Digestive diseases,Acute and chronic pancreatitis,K853,Female,65-74 years,0.21
